movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,82051601,245328374,Par.,2016
Me Before You,20000000,56245075,208265198,WB (NL),2016
Alice Through the Looking Glass,170000000,77042381,276928112,BV,2016
X-Men: Apocalypse,178000000,155442489,542537546,Fox,2016
The Nice Guys,50000000,36261763,59596747,WB,2016
Neighbors 2: Sorority Rising,35000000,55340730,108757621,Uni.,2016
The Angry Birds Movie,73000000,107509366,352327887,Sony,2016
The Darkness,4000000,10753574,10898293,BH Tilt,2016
Money Monster,27000000,41012075,93466095,TriS,2016
Dheepan,9000000,248795,7704357,IFC,2016
Captain America: Civil War,250000000,408084349,1140069413,BV,2016
The Man Who Knew Infinity,10000000,3877922,12382122,IFC,2016
Keanu,15000000,20591853,20688141,WB (NL),2016
A Hologram for the King,35000000,4212494,11846010,RAtt.,2016
Compadres,3000000,3127773,7445044,PNT,2016
The Meddler,3200000,4267219,5526942,SPC,2016
Green Room,5000000,3220371,3807503,A24,2016
Barbershop: The Next Cut,20000000,54030051,54404202,WB (NL),2016
The Invitation,1000000,231738,354836,Drft.,2016
The Boss,29000000,63077560,78652207,Uni.,2016
Hardcore Henry,2000000,9252038,17187434,STX,2016
Batman v Superman: Dawn of Justice,250000000,330360194,867500281,WB,2016
My Big Fat Greek Wedding 2,18000000,59689605,92096558,Uni.,2016
The Divergent Series: Allegiant,110000000,66184051,172022517,LG/S,2016
Midnight Special,18000000,3712282,7680250,WB,2016
Miracles from Heaven,13000000,61705123,73798736,TriS,2016
The Brothers Grimsby,35000000,6864016,28720470,Sony,2016
The Young Messiah,16800000,6469813,7313697,Focus,2016
"Hello, My Name is Doris",1000000,14444999,14662703,RAtt.,2016
10 Cloverfield Lane,5000000,72082999,108286422,Par.,2016
Eye in the Sky,13000000,18704596,35402802,BST,2016
The Perfect Match,5000000,9669521,10182050,LGF,2016
Zootopia,150000000,341268248,1019429616,BV,2016
They Will Have to Kill Us First,600000,0,7943,BBC,2016
London Has Fallen,60000000,62524260,195194085,Focus,2016
Whiskey Tango Foxtrot,35000000,23083334,25350747,Par.,2016
The Other Side of the Door,5000000,3000342,12905107,Fox,2016
Triple 9,20000000,12639297,25943792,ORF,2016
Gods of Egypt,140000000,31153464,138836756,LG/S,2016
Eddie the Eagle,23000000,15789389,45060480,Fox,2016
The Witch,3500000,25138705,40454520,A24,2016
Risen,20000000,36880033,46255763,Sony,2016
The Little Prince,77500000,1311213,102028919,EOne,2016
Zoolander 2,50000000,28848693,55348693,Par.,2016
Deadpool,58000000,363070709,801025593,Fox,2016
Pride and Prejudice and Zombies,28000000,10907291,16638300,SGem,2016
"Hail, Caesar!",22000000,30080225,64160680,Uni.,2016
Fifty Shades of Black,5000000,11686940,22113075,ORF,2016
The Finest Hours,70000000,27569558,49252761,BV,2016
Kung Fu Panda 3,140000000,143528619,517599142,Fox,2016
Jane Got a Gun,25000000,1513793,3771345,Wein.,2016
Dirty Grandpa,11500000,35593113,105078449,LGF,2016
The 5th Wave,38000000,34912982,111336398,Sony,2016
Eden,2300000,0,0,BG,2015
Ride Along 2,40000000,90862685,124827316,Uni.,2016
13 Hours: The Secret Soldiers of Benghazi,50000000,52853219,69411370,Par.,2016
Norm of the North,18000000,17062499,30535660,LGF,2016
The Lady in the Van,6000000,10021175,42320503,SPC,2015
The Forest,10000000,26594261,40749230,Focus,2016
Anomalisa,8000000,3759286,5706168,Par.,2015
The Revenant,135000000,183637894,532938302,Fox,2015
The Hateful Eight,62000000,54117416,147864886,Wein.,2015
Joy,60000000,56451232,101134059,Fox,2015
Alvin and the Chipmunks: The Road Chip,90000000,85886987,249517956,Fox,2015
Sisters,30000000,87044645,106030660,Uni.,2015
In the Heart of the Sea,100000000,25020758,89693309,WB,2015
The Big Short,28000000,70259870,133162752,Par.,2015
Krampus,15000000,42725475,61788393,Uni.,2015
Youth,13000000,2703296,24001573,FoxS,2015
Victor Frankenstein,40000000,5775076,31124367,Fox,2015
Creed,37000000,109767581,173567581,WB (NL),2015
The Good Dinosaur,187500000,123087120,333771037,BV,2015
The Night Before,25000000,43035725,52427346,Sony,2015
Legend,25000000,1872994,42425450,Uni.,2015
Mustang,1400000,845464,5552584,Cohen,2015
Carol,11800000,12711491,42843521,Wein.,2015
The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,LGF,2015
By the Sea,20000000,538460,3727746,Uni.,2015
Love the Coopers,18000000,26302731,42227490,LGF,2015
The 33,25000000,12227722,28400715,WB,2015
The Peanuts Movie,99000000,130178411,250091610,Fox,2015
Spectre,300000000,200074175,879620923,Sony,2015
Spotlight,20000000,45055776,92088460,ORF,2015
Brooklyn,11000000,38322743,62076141,FoxS,2015
Regression,20000000,55039,15824374,W/Dim.,2016
Scouts Guide to the Zombie Apocalypse,15000000,3703046,15554855,Par.,2015
Burnt,20000000,13651946,36773510,Wein.,2015
Suffragette,14000000,4702420,34044909,Focus,2015
The Last Witch Hunter,80000000,27367660,130818912,LG/S,2015
Jem and the Holograms,5000000,2184640,2368937,Uni.,2015
Paranormal Activity: The Ghost Dimension,10000000,18297124,77959374,Par.,2015
Crimson Peak,55000000,31090320,74966854,Uni.,2015
Bridge of Spies,40000000,72313754,162498338,BV,2015
Goosebumps,58000000,80069458,158905324,Sony,2015
Room,13000000,14677674,36262783,A24,2015
Woodlawn,13000000,14394097,14403703,PFR,2015
Knock Knock,2000000,36336,6328516,LGP,2015
Trash,12000000,17484,6553186,FCW,2015
Pan,150000000,35088320,151525973,WB,2015
Steve Jobs,30000000,17766658,35579007,Uni.,2015
The Martian,108000000,228433663,655271443,Fox,2015
Shanghai,50000000,46425,15505922,Wein.,2015
Freeheld,7000000,546201,1732228,LGF,2015
The Walk,35000000,10161183,61492104,TriS,2015
Hotel Transylvania 2,80000000,169700110,469500298,Sony,2015
The Green Inferno,1000000,7192291,12931420,BH Tilt,2015
The Intern,40000000,75764672,197115710,WB,2015
Sicario,30000000,46889293,84393749,LGF,2015
Maze Runner: The Scorch Trials,61000000,81697192,310566162,Fox,2015
Black Mass,53000000,62575678,98837872,WB,2015
The Perfect Guy,18000000,57027435,60278166,SGem,2015
The Visit,5000000,65206105,98677816,Uni.,2015
The Transporter Refueled,22000000,16029670,69698495,EC,2015
Before We Go,3000000,37151,483938,RTWC,2015
A Walk in the Woods,8000000,29499394,37119358,BG,2015
War Room,3000000,67790117,73975239,TriS,2015
We Are Your Friends,2000000,3591417,10153415,WB,2015
No Escape,5000000,27288872,42844516,Wein.,2015
American Ultra,28000000,14439985,30295028,LGF,2015
Hitman: Agent 47,35000000,22467450,82182803,Fox,2015
Sinister 2,10000000,27740955,54104225,Focus,2015
The Man From U.N.C.L.E.,75000000,45445109,104949584,WB,2015
Straight Outta Compton,28000000,161197785,202182981,Uni.,2015
Ricki and the Flash,18000000,26839498,41166033,TriS,2015
The Diary of a Teenage Girl,2000000,1477002,2279959,SPC,2015
Fantastic Four,120000000,56117548,167849187,Fox,2015
Vacation,31000000,58884188,102306500,WB (NL),2015
Pixels,90000000,78765986,244041804,Sony,2015
The Vatican Tapes,13000000,1784763,14929184,LGF,2015
Southpaw,30000000,52421953,94156456,Wein.,2015
Paper Towns,12000000,32000304,85450484,Fox,2015
Bajrangi Bhaijaan,13000000,8178001,121778347,Eros,2015
Ant-Man,130000000,180202163,518858449,BV,2015
Trainwreck,35000000,110212700,141123897,Uni.,2015
The Gallows,100000,22764410,41656474,WB (NL),2015
Minions,74000000,336045770,1160336173,Uni.,2015
Strangerland,10000000,17472,161097,Alc,2015
Baahubali: The Beginning,40000000,6738000,26736665,BSC,2015
Self/Less,26000000,12279691,33667319,Focus,2015
Terminator: Genisys,155000000,89760956,432150894,Par.,2015
Magic Mike XXL,14500000,66013057,123660597,WB,2015
Ted 2,68000000,81476385,217214143,Uni.,2015
Escobar: Paradise Lost,17000000,195792,3917679,RTWC,2015
Dope,7000000,17506470,18190831,ORF,2015
Manglehorn,4000000,132270,797439,IFC,2015
Inside Out,175000000,356461711,854235992,BV,2015
Jurassic World,215000000,652270625,1648854864,Uni.,2015
Me and Earl and the Dying Girl,8000000,6758416,9266180,FoxS,2015
Testament of Youth,10000000,1822250,6646669,SPC,2015
